coll_id,conv_no,msg_type,direction,body
1640266,34,0,True,_emoticon_
1640266,34,0,False,you are welcome
1640266,35,22,False,_reminder_notification_
1674745,3,22,False,_reminder_notification_
1674745,3,0,True,_emoticon_
1674745,3,25,False,_blank_
1674745,4,0,True,_emoticon_
1674745,4,25,False,_blank_
1674745,5,22,False,_reminder_notification_
1678763,2,22,False,_reminder_notification_
1678763,2,0,True,thank you
1678763,2,0,False,you are most welcome let me know if you need any further assistance have a great day ahead
1700244,9,0,True,remind me to buy a refill at _time_ todau
1700244,9,18,False,for sure _name_ what date would you like me to remind you on
1700244,9,0,True,_date_
1700244,9,29,False,_api_call_remind_general
1799270,3,39,True,hi i want to set a reminder to drink water
1799270,3,0,False,_blank_
1799270,3,33,True,_33_
1799270,3,18,False,sure _name_ i just need to know how frequently i should remind you
1799270,3,18,False,_chatform_65_
1799270,3,0,True,hey can you set a wake up alarm for me
1799270,3,18,False,sure _name_ i will wake you up i just need a few details
1799270,3,18,False,_chatform_33_
1945498,33,39,True,hi i want to set a reminder to drink water
1945498,33,0,False,_blank_
2202237,38,39,True,hi i want to set a reminder to drink water
2202237,38,0,False,_blank_
2202237,38,33,True,_33_
2202237,38,18,False,sure _name_ i just need to know how frequently i should remind you
2202237,38,18,False,_chatform_65_
2202237,38,17,True,reminder to drink water frequency of reminders frequency_of_reminders
2202237,38,18,False,_reminder_interim_
2202237,38,19,False,_api_call_remind_water_
2202237,39,22,False,_reminder_notification_
2240042,13,0,True,please show my to do list of pending tasks _to_do_list_
2240042,13,24,False,_api_todo_show_
2240042,13,24,False,_chatform_101_
2240042,13,17,True,add a new to do date date task task time time
2240042,13,24,False,_api_todo_set_
2240042,13,24,False,_chatform_101_
2240042,13,17,True,add a new to do date date task task time time
2240042,13,24,False,_api_todo_set_
2240042,13,24,False,_chatform_101_
2240042,13,17,True,add a new to do date date task task time time
2240042,13,24,False,_api_todo_set_
2240042,13,24,False,_chatform_101_
2240042,14,22,False,_reminder_notification_
2363030,0,39,True,hi i want to set a reminder to drink water
2363030,0,0,False,_blank_
2477849,1,0,True,hey can you send me regular reminders to drink water
2477849,1,18,False,sure _name_ i just need to know how frequently i should remind you
2477849,1,18,False,_chatform_65_
2477849,1,0,True,hi i have a meeting coming up can you remind me
2477849,1,18,False,definitely _name_ i just need a few details
2477849,1,18,False,_chatform_56_
2477849,1,17,True,date date venue venue meeting with meeting_with time time
2477849,1,18,False,_reminder_interim_
2477849,1,19,False,_api_call_remind_meeting_
2477849,2,25,False,_blank_
2554914,22,0,True,hey can you set a wake up alarm for me
2554914,22,18,False,sure _name_ i will wake you up i just need a few details
2554914,22,18,False,_chatform_33_
2554914,22,17,True,date date time time
2554914,22,18,False,_reminder_interim_
2554914,22,19,False,youre all set ill make sure youre up at _time_ on mon _date_
2554914,23,1,False,_image_
2554914,23,0,False,it was a pleasure assisting you good night
2554914,24,22,False,_reminder_notification_
2563947,11,22,False,_reminder_notification_
2563947,11,0,True,hey can you send me regular reminders to drink water
2563947,11,18,False,sure _name_ i just need to know how frequently i should remind you
2563947,11,18,False,_chatform_65_
2628154,50,0,True,hey can you set a reminder for me to call someone
2628154,50,18,False,sure _name_ i just need a few details to get this done
2628154,50,0,True,hey can you remind me to wish someone on their birthday
2628154,50,18,False,_chatform_59_
2628154,50,18,False,sure _name_ i just need a few details
2628154,50,18,False,_chatform_38_
2628154,50,17,True,wish birthday date date name name time time
2628154,50,18,False,_reminder_interim_
2628154,50,19,False,_api_call_remind_birthday_
2785494,11,22,False,_reminder_notification_
2785494,11,6,False,rise and shine _name_ i can help you plan your week ahead just text me to set up your to do list
2785494,11,22,False,_reminder_notification_
2822970,19,22,False,_reminder_notification_
2822970,19,22,False,_reminder_notification_
2930143,17,0,True,remind for call toyota
2930143,17,18,False,sure _name_ i just need a few details to get this done
2930143,17,18,False,_chatform_59_
2930143,17,17,True,reminder to call date date name of person name_of_person time time
2930143,17,18,False,_reminder_interim_
2930143,17,19,False,i have set this up youll get a call from me to remind you about it at _time_ on tue _date_ have a great day
2986763,18,0,True,_date_ _time_ pimpalner meeting remind me
2986763,18,18,False,_reminder_interim_
2986763,18,19,False,_api_call_remind_meeting_
2986763,19,0,False,you are welcome have a great day ahead
3004833,34,0,True,hey can you set a wake up alarm for me
3004833,34,18,False,sure _name_ i will wake you up i just need a few details
3004833,34,18,False,_chatform_33_
3004833,34,17,True,date date time time
3004833,34,18,False,_reminder_interim_
3004833,34,19,False,youre all set ill make sure youre up at _time_ on mon _date_
3014292,101,0,True,hey can you set a wake up alarm for me
3014292,101,18,False,sure _name_ i will wake you up i just need a few details
3014292,101,18,False,_chatform_33_
3014292,101,0,True,_time_
3014292,101,18,False,for sure _name_ would you like me to wake you up _date_ or on some other date
3014292,101,0,True,_date_
3014292,101,18,False,_reminder_interim_
3014292,101,19,False,youre all set ill make sure youre up at _time_ on mon _date_
3014292,102,25,False,you are welcome
3030716,10,0,True,set an alarm for me at _time_
3030716,10,18,False,for sure _name_ what date would you like me to remind you on
3030716,10,0,True,_date_
3030716,10,18,False,_reminder_interim_
3030716,10,19,False,alright your reminder is set for _time_ on mon _date_ have a great day ahead
3030716,11,0,False,got it i am setting this up for you
3030716,11,0,False,got it ill call you at _time_ on mon _date_ and make sure youre up
3030716,11,0,False,got it ill call you at _time_ on mon _date_ and make sure youre up
3030716,11,0,False,hope the above information was helpful good night
3030716,13,22,False,_reminder_notification_
3055870,51,22,False,_reminder_notification_
3055870,51,6,False,a beautiful sunday is getting over _name_ i can help you wake up on time _date_ just text me to set up a wake up reminder
3117983,68,22,False,_reminder_notification_
3117983,69,22,False,_reminder_notification_
3117983,70,0,True,_emoticon_
3117983,70,25,False,_blank_
3127691,40,0,True,hey can you set a reminder for me to call someone
3127691,40,18,False,sure _name_ i just need a few details to get this done
3127691,40,18,False,_chatform_59_
3127691,40,17,True,date date name of person name_of_person time time
3127691,40,18,False,_reminder_interim_
3127691,40,19,False,great ill call and remind you about this at _time_ on mon _date_
3127691,41,0,False,_api_call_remind_water_
3127691,41,33,True,_33_
3127691,41,18,False,sure _name_ i just need to know how frequently i should remind you
3127691,41,18,False,_chatform_65_
3127691,41,17,True,frequency of reminders frequency_of_reminders
3127691,41,18,False,_reminder_interim_
3127691,41,19,False,_api_call_remind_water_
3127691,42,25,False,_blank_
3127691,43,22,False,_reminder_notification_
3127691,43,0,True,hey can you set a reminder for me to call someone
3127691,43,18,False,sure _name_ i just need a few details to get this done
3127691,43,18,False,_chatform_59_
3127691,43,17,True,date date name of person name_of_person time time
3127691,43,18,False,_reminder_interim_
3127691,43,19,False,and your reminder is set for _time_ on mon _date_ have a fantastic day
3127691,44,22,False,_reminder_notification_
3127691,44,0,True,hey can you set a reminder for me to call someone
3127691,44,18,False,sure _name_ i just need a few details to get this done
3127691,44,18,False,_chatform_59_
3127691,44,17,True,date date name of person name_of_person time time
3127691,44,18,False,_reminder_interim_
3127691,44,19,False,great ill call and remind you about this at _time_ on mon _date_
3127691,44,0,True,hey can you set a reminder for me to call someone
3127691,45,18,False,definitely _name_ i just need a few details
3127691,45,18,False,_chatform_56_
